,frn,provider_id,brand_name,location_id,technology,max_advertised_download_speed,max_advertised_upload_speed,low_latency,business_residential_code,state_usps,block_geoid,h3_res8_id,FIPS5
2389029,19066034,200014,Cogent Communication,1335351001,50,100000,100000,1,B,OH,391130501063001.0,882a93983dfffff,39113.0
2343542,25646373,130235,Spectrum,1004453633,50,1000,500,1,B,OH,391199128003034.0,882a82d005fffff,39119.0
2343619,32580888,480067,Omni Fiber,1298263600,50,10000,10000,1,B,OH,391230502021002.0,882ab22c31fffff,39123.0
2535955,13194675,180058,CNI Fiber,1288100692,50,1000,1000,1,B,OH,391259601001100.0,882a96852bfffff,39125.0
2342357,25646373,130235,Spectrum,1001739353,50,1000,500,1,B,OH,391279660003022.0,882a825345fffff,39127.0
2356723,29626009,130258,Frontier,1001933263,50,7000,7000,1,B,OH,391290202001000.0,882a9189cdfffff,39129.0
2343636,5051560,130543,Glandorf Internet,1001975571,50,2000,2000,1,B,OH,391370303011027.0,882a944c13fffff,39137.0
2344737,32580888,480067,Omni Fiber,1313605379,50,10000,10000,1,B,OH,391390026003002.0,882a95d343fffff,39139.0
2351027,25646373,130235,Spectrum,1003312528,50,1000,500,1,B,OH,391419567001017.0,882a910721fffff,39141.0
2348013,32580888,480067,Omni Fiber,1002275928,50,10000,10000,1,B,OH,391439616001027.0,882a948191fffff,39143.0
2365631,29626009,130258,Frontier,1004162877,50,7000,7000,1,B,OH,391450025002014.0,882a912d11fffff,39145.0
2343539,25646373,130235,Spectrum,1002110608,50,1000,500,1,B,OH,391499717001024.0,882a90cdcbfffff,39149.0
2440858,16555849,130982,"Zayo Network Services, LLC",1007075883,50,100000,100000,1,B,OH,391517139001003.0,882a86c91dfffff,39151.0
2355165,24170359,131081,Metronet Holdings,1007664144,50,10000,10000,1,B,OH,391535304022006.0,882ab3a013fffff,39153.0
2352671,32580888,480067,Omni Fiber,1356105436,50,10000,10000,1,B,OH,391559314002007.0,882ab13b6dfffff,39155.0
2342411,32580888,480067,Omni Fiber,1004733151,50,10000,10000,1,B,OH,391570201001070.0,882a8650e3fffff,39157.0
2389152,29626009,130258,Frontier,1298369061,50,7000,7000,1,B,OH,391590501003012.0,882a954b45fffff,39159.0
2471428,13194675,180058,CNI Fiber,1000857877,50,1000,1000,1,B,OH,391610202004007.0,882a96a93bfffff,39161.0
2416574,29626009,130258,Frontier,1687400168,50,7000,7000,1,B,OH,391639531005030.0,882a91ae3bfffff,39163.0
2438330,29626009,130258,Frontier,1004653539,50,5000,5000,1,B,OH,391670213002024.0,882a82034bfffff,39167.0
2398062,32580888,480067,Omni Fiber,1004132690,50,10000,10000,1,B,OH,391690008003027.0,882ab32f6bfffff,39169.0
2369560,29626009,130258,Frontier,1001361013,50,7000,7000,1,B,OH,391719503002000.0,88274975b3fffff,39171.0
2346360,8538555,370064,ACD.net,1314823947,50,100000,100000,1,B,OH,391730206022012.0,882a94c22dfffff,39173.0
2349334,32580888,480067,Omni Fiber,1000921599,50,10000,10000,1,B,OH,391759383003000.0,882a94234dfffff,39175.0
3023114,3510195,130370,Lightpath,1100285705,50,10000,10000,1,B,PA,420010312021018.0,882aaea963fffff,42001.0
3422259,16555849,130982,ZAYO GROUP LLC,1365437167,50,450000,450000,1,B,PA,420035627002005.0,882a844493fffff,42003.0
3309234,7494776,130335,Fidium Fiber,1294988030,50,2000,2000,1,B,PA,420059519001011.0,882a841a81fffff,42005.0
3157279,32580888,480067,Omni Fiber,1099227987,50,10000,10000,1,B,PA,420076058002004.0,882ab125b9fffff,42007.0
3342454,5043195,130892,NetCarrier Telecom Inc,1352991025,50,1000000,1000000,1,B,PA,420110026001025.0,882aacd0b9fffff,42011.0
3403257,3768165,130317,Xfinity,1055256879,50,2000,2000,1,B,PA,420130113003017.0,882aa32965fffff,42013.0
3051042,6097711,130993,FirstLight Fiber,1053189251,50,10000,10000,1,B,PA,420159511001077.0,882aa50a89fffff,42015.0
3025279,5043195,130892,NetCarrier Telecom Inc,1342345764,50,1000000,1000000,1,B,PA,420171006002003.0,882a13509bfffff,42017.0
3377262,3768165,130317,Xfinity,1094610359,50,2000,2000,1,B,PA,420210120001010.0,882aa34421fffff,42021.0
3541305,29626009,130258,Frontier,1074525177,50,5000,5000,1,B,PA,420250202021041.0,882a124801fffff,42025.0
3503770,3768165,130317,Xfinity,1068964558,50,10000,10000,1,B,PA,420270117023030.0,882aa38ebdfffff,42027.0
3157114,5043195,130892,NetCarrier Telecom Inc,1349583467,50,1000000,1000000,1,B,PA,420293017001028.0,882aac8819fffff,42029.0
3235534,24368151,300044,DQE Communications LLC,1087057238,50,1000,1000,1,B,PA,420311607012041.0,882a84d717fffff,42031.0
3196634,3768165,130317,Xfinity,1105999044,50,2000,2000,1,B,PA,420333303001054.0,882aa235e7fffff,42033.0
3084171,3768165,130317,Xfinity,1308171389,50,10000,10000,1,B,PA,420410113041028.0,882aae9107fffff,42041.0
3086702,3768165,130317,Xfinity,1302876400,50,10000,10000,1,B,PA,420430241054016.0,882aa12f15fffff,42043.0
3455330,5043195,130892,NetCarrier Telecom Inc,1120415025,50,100000,100000,1,B,PA,420454041032020.0,882aacb1dbfffff,42045.0
3092709,16555849,130982,"Zayo Network Services, LLC",1302731034,50,20000,20000,1,B,PA,420490001001017.0,882ab57449fffff,42049.0
3048615,32580888,480067,Omni Fiber,1049833313,50,10000,10000,1,B,PA,420512623001052.0,882a809533fffff,42051.0
3102183,29626009,130258,Frontier,1029670920,50,7000,7000,1,B,PA,420550120011032.0,882aae0b1dfffff,42055.0
3027998,29626009,130258,Frontier,1061547245,50,7000,7000,1,B,PA,420579603003020.0,882a85b029fffff,42057.0
3030384,24368151,300044,DQE Communications LLC,1102773955,50,1000,1000,1,B,PA,420599705013094.0,882a808901fffff,42059.0
3453654,3768165,130317,Xfinity,1059370506,50,2000,2000,1,B,PA,420619504004045.0,882aa304d1fffff,42061.0
3528061,3768165,130317,Xfinity,1024484095,50,3000,3000,1,B,PA,420639611021011.0,882a84ba15fffff,42063.0
3365329,6097711,130993,FirstLight Fiber,1306786785,50,100000,100000,1,B,PA,420691105001016.0,882aa5a897fffff,42069.0
3022217,3510195,130370,Lightpath,1346176950,50,10000,10000,1,B,PA,420710121051006.0,882aac5241fffff,42071.0
3022612,32580888,480067,Omni Fiber,1023942047,50,10000,10000,1,B,PA,420730118001017.0,882ab125abfffff,42073.0
3273127,6097711,130993,FirstLight Fiber,1295190579,50,100000,100000,1,B,PA,420750001001003.0,882aa13589fffff,42075.0
3551304,16555849,130982,"Zayo Network Services, LLC",1100116082,50,125000,125000,1,B,PA,420792010001016.0,882aa52725fffff,42079.0
3450704,6097711,130993,FirstLight Fiber,1139840505,50,10000,10000,1,B,PA,420810101001134.0,882aa0aa85fffff,42081.0
3029035,29626009,130258,Frontier,1304080760,50,7000,7000,1,B,PA,420893003122013.0,882a12cd65fffff,42089.0
3167640,5043195,130892,NetCarrier Telecom Inc,1334341714,50,1000000,1000000,1,B,PA,420912009013003.0,882a122d87fffff,42091.0
3095496,11548526,131026,PenTeleData,1018603836,50,1000,1000,1,B,PA,420930504001030.0,882aa189c9fffff,42093.0
3474196,19066034,200014,Cogent Communication,1074236032,50,100000,100000,1,B,PA,420950177041001.0,882a120c23fffff,42095.0
3022461,11548526,131026,PenTeleData,1295262878,50,1000,1000,1,B,PA,420970819002071.0,882aa118b5fffff,42097.0
3130123,5043195,130892,NetCarrier Telecom Inc,1528415829,50,1000000,1000000,1,B,PA,421019804001000.0,882aacb2bdfffff,42101.0
3212138,11548526,131026,PenTeleData,1063077157,50,1000,1000,1,B,PA,421059501022000.0,882aa0c465fffff,42105.0
3027994,29626009,130258,Frontier,1034729496,50,7000,7000,1,B,PA,421070012002002.0,882aa1a929fffff,42107.0
3022457,11548526,131026,PenTeleData,1067011882,50,1000,1000,1,B,PA,421090706001049.0,882aa10841fffff,42109.0
3251734,3768165,130317,Xfinity,1017709640,50,10000,10000,1,B,PA,421110210003004.0,882a85cd4dfffff,42111.0
3265726,6097711,130993,FirstLight Fiber,1050813062,50,10000,10000,1,B,PA,421150329021015.0,882aa5b197fffff,42115.0
3061837,6097711,130993,FirstLight Fiber,1474704214,50,100000,100000,1,B,PA,421179507004051.0,882aa08ee5fffff,42117.0
3482132,11548526,131026,PenTeleData,1119144066,50,1000,1000,1,B,PA,421190905021017.0,882aa1cdb9fffff,42119.0
3226580,15336449,280001,Breezeline,1062193689,50,1000,600,1,B,PA,421212011001018.0,882aa27a13fffff,42121.0
3023605,13613161,360103,WestPAnet,1135678268,50,1000,1000,1,B,PA,421239706002017.0,882aa2c2b5fffff,42123.0
