County Name,County FIPS Code,State Name,Developed Land %
Cumberland,42041,Pennsylvania,0.2486
Ottawa,39123,Ohio,0.189
Lebanon,42075,Pennsylvania,0.2324
Accomack,51001,Virginia,0.0717
Westmoreland,42129,Pennsylvania,0.225
Allegheny,42003,Pennsylvania,0.5702
Grundy,17063,Illinois,0.1266
Chester,42029,Pennsylvania,0.3496
Spencer,18147,Indiana,0.1045
Boone,21015,Kentucky,0.3108
Hunterdon,34019,New Jersey,0.2087
Highland,51091,Virginia,0.028
Centre,42027,Pennsylvania,0.0906
Whiteside,17195,Illinois,0.0922
Sandusky,39143,Ohio,0.1421
Lucas,39095,Ohio,0.5096
Muskingum,39119,Ohio,0.1254
Ocean,34029,New Jersey,0.2704
Camden,34007,New Jersey,0.5772
WARREN,34041,New Jersey,0.1707
Washington,51191,Virginia,0.099
Trumbull,39155,Ohio,0.2289
Summit,39153,Ohio,0.6262
Bradford,42015,Pennsylvania,0.0853
Clearfield,42033,Pennsylvania,0.0776
Darke,39037,Ohio,0.1064
Salem City,51775,Virginia,0.89
Shelby,39149,Ohio,0.1227
Kent,10001,Delaware,0.1841
Essex,34013,New Jersey,0.8359
Warren,42123,Pennsylvania,0.0531
Tazewell,17179,Illinois,0.137
Richmond,51159,Virginia,0.0638
Henrico,51087,Virginia,0.5279
Russell,51167,Virginia,0.0709
Hudson,34017,New Jersey,0.7305
Ashtabula,39007,Ohio,0.1355
Pulaski,21199,Kentucky,0.1159
Talbot,24041,Maryland,0.1287
Marion,54049,West Virginia,0.1219
Monroe,42089,Pennsylvania,0.1827
Wayne,39169,Ohio,0.1634
Venango,42121,Pennsylvania,0.0807
Lake,17097,Illinois,0.6167
Lorain,39093,Ohio,0.339
Williams,39171,Ohio,0.1152
Cuyahoga,39035,Ohio,0.8318
Tuscarawas,39157,Ohio,0.1414
Crawford,39033,Ohio,0.1181
Philadelphia,42101,Pennsylvania,0.8726
McHenry,17111,Illinois,0.2637
Montgomery,24031,Maryland,0.1248
Hamilton,39061,Ohio,0.6624
Dauphin,42043,Pennsylvania,0.2339
Danville City,51590,Virginia,0.6066
Dare,37055,North Carolina,0.0878
Alexandria City,51510,Virginia,0.9638
Richmond City,51760,Virginia,0.883
Susquehanna,42115,Pennsylvania,0.0875
Lake,39085,Ohio,0.5101
Winnebago,17201,Illinois,0.2862
Baltimore City,24510,Maryland,0.9047
Kane,17089,Illinois,0.3996
