County Name,County FIPS Code,State Name,Water Stress Level
Columbiana,39029,Ohio,1
Carroll,39019,Ohio,3
Gloucester,34015,New Jersey,3
Wayne,54099,West Virginia,3
Wise,51195,Virginia,3
Charles,24017,Maryland,2
Henry,39069,Ohio,1
Union,42119,Pennsylvania,2
DuPage,17043,Illinois,4
Richland,39139,Ohio,3
Wood,39173,Ohio,1
Greene,42059,Pennsylvania,3
Bergen,34003,New Jersey,1
Cumberland,42041,Pennsylvania,1
Ottawa,39123,Ohio,1
Lebanon,42075,Pennsylvania,1
Accomack,51001,Virginia,4
Westmoreland,42129,Pennsylvania,3
Allegheny,42003,Pennsylvania,2
Grundy,17063,Illinois,4
Chester,42029,Pennsylvania,3
Spencer,18147,Indiana,1
Boone,21015,Kentucky,1
Hunterdon,34019,New Jersey,4
Highland,51091,Virginia,3
Centre,42027,Pennsylvania,2
Whiteside,17195,Illinois,4
Sandusky,39143,Ohio,1
Lucas,39095,Ohio,1
Muskingum,39119,Ohio,3
Ocean,34029,New Jersey,3
Camden,34007,New Jersey,3
WARREN,34041,New Jersey,3
Washington,51191,Virginia,2
Trumbull,39155,Ohio,1
Summit,39153,Ohio,3
Bradford,42015,Pennsylvania,1
Clearfield,42033,Pennsylvania,2
Darke,39037,Ohio,3
Salem City,51775,Virginia,3
Shelby,39149,Ohio,3
Kent,10001,Delaware,4
Essex,34013,New Jersey,5
Warren,42123,Pennsylvania,2
Tazewell,17179,Illinois,2
Richmond,51159,Virginia,4
Henrico,51087,Virginia,4
Russell,51167,Virginia,3
Hudson,34017,New Jersey,3
Ashtabula,39007,Ohio,2
Pulaski,21199,Kentucky,3
Talbot,24041,Maryland,3
Marion,54049,West Virginia,3
Monroe,42089,Pennsylvania,3
Wayne,39169,Ohio,3
Venango,42121,Pennsylvania,2
Lake,17097,Illinois,4
Lorain,39093,Ohio,2
Williams,39171,Ohio,1
Cuyahoga,39035,Ohio,2
Tuscarawas,39157,Ohio,3
Crawford,39033,Ohio,1
Philadelphia,42101,Pennsylvania,3
McHenry,17111,Illinois,4
Montgomery,24031,Maryland,1
Hamilton,39061,Ohio,1
Dauphin,42043,Pennsylvania,1
Danville City,51590,Virginia,3
Dare,37055,North Carolina,3
Alexandria City,51510,Virginia,4
Richmond City,51760,Virginia,3
Susquehanna,42115,Pennsylvania,1
Lake,39085,Ohio,2
Winnebago,17201,Illinois,4
Baltimore City,24510,Maryland,2
Kane,17089,Illinois,5
